id;ticket_id;author_id;body;visibility;created_at
1;9358;5034;../fake-data/blob/hipster.txt;INTERNAL;2025-09-07T14:49:31
2;6189;16983;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T06:10:30
3;31292;22167;../fake-data/blob/hipster.txt;INTERNAL;2025-09-07T16:04:21
4;16141;22501;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T01:07:16
5;8369;18881;../fake-data/blob/hipster.txt;PUBLIC;2025-09-07T21:43:26
6;30060;29577;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T06:11:44
7;12462;22334;../fake-data/blob/hipster.txt;PUBLIC;2025-09-08T08:35:14
8;30606;2285;../fake-data/blob/hipster.txt;INTERNAL;2025-09-07T17:59:53
9;26764;1574;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T07:33:41
10;25560;13396;../fake-data/blob/hipster.txt;PUBLIC;2025-09-07T23:37:17
