id;company_id;app_id;is_active;created_at;updated_at
1;31843;3327;true;2025-09-11T22:44:46;2025-09-11T22:57:39
2;17732;20548;true;2025-09-11T21:41:13;2025-09-11T11:09:21
3;4928;1366;false;2025-09-12T02:05:16;2025-09-11T19:56:29
4;26721;6137;false;2025-09-11T09:25:20;2025-09-11T06:20:57
5;18746;17235;true;2025-09-11T10:31:19;2025-09-11T16:43:06
6;17817;9532;false;2025-09-11T15:26:08;2025-09-11T13:01:39
7;7453;21691;false;2025-09-11T19:15:23;2025-09-11T06:58:15
8;7527;6356;true;2025-09-11T18:15:56;2025-09-11T07:29:52
9;11039;1782;true;2025-09-11T15:45:53;2025-09-12T03:00:04
10;7062;27331;false;2025-09-11T21:25:01;2025-09-12T02:59:26
