id;product_id;sku;name;price;compare_at_price;currency;stock_quantity;weight;length;width;height;is_default;created_at;updated_at
1;16747;fowl;inasmuch;3023.79;24310.87;sti;14582;26725.56;7178.36;3184.55;26334.37;true;2025-09-08T11:56:44;2025-09-08T11:04:22
2;32600;until bend phooey;yearly atop inborn;2696.65;1934.47;for;7873;2964.46;14532.24;16797.71;1402.15;true;2025-09-07T23:51:37;2025-09-08T13:15:51
3;3210;indeed extent finally;far-flung;12118;28487.23;um;14529;16175.14;13412.4;18319.76;23653.95;false;2025-09-07T21:54:20;2025-09-07T20:24:57
4;3765;consequently longboat gah;luck;9354.77;17175.24;unt;21027;16905.49;20624.95;12672.51;8546.09;true;2025-09-07T16:45:28;2025-09-07T20:00:28
5;22604;eke;synergy silent;27050.3;32335.55;ble;22849;7773.48;21770.25;24959.78;30788.51;true;2025-09-08T12:11:46;2025-09-07T17:35:01
6;21189;underneath;more indeed beneath;8528.15;16724.49;fen;20740;6956.51;16428.03;16111.32;15690.96;false;2025-09-08T14:25:33;2025-09-08T11:51:47
7;10682;aha;lift word;23808.79;28142.1;pss;14502;4827.8;32590.2;9107.63;66.02;true;2025-09-08T08:19:56;2025-09-08T06:53:57
8;12232;wasteful until magnificent;oh outdo;28809.4;24531.45;amo;2337;17867.87;20681.25;4680.22;16482.27;true;2025-09-08T00:30:04;2025-09-08T00:32:06
9;8598;middle internalise;accessorise bogus;7115.04;2022.39;pla;9244;4053.96;31140.69;16516.19;22824.5;true;2025-09-08T02:31:28;2025-09-07T16:56:07
10;16860;yet reward apropos;certify as boohoo;13556.65;22851.88;vas;5376;1807.15;13453.83;18610.1;8283.52;true;2025-09-07T21:46:46;2025-09-08T13:04:12
