id;company_id;app_id;is_active;created_at;updated_at
1;31843;3327;true;2025-09-11T23:31:22;2025-09-11T23:44:15
2;17732;20548;true;2025-09-11T22:27:49;2025-09-11T11:55:57
3;4928;1366;false;2025-09-12T02:51:52;2025-09-11T20:43:05
4;26721;6137;false;2025-09-11T10:11:56;2025-09-11T07:07:33
5;18746;17235;true;2025-09-11T11:17:55;2025-09-11T17:29:42
6;17817;9532;false;2025-09-11T16:12:44;2025-09-11T13:48:15
7;7453;21691;false;2025-09-11T20:01:59;2025-09-11T07:44:51
8;7527;6356;true;2025-09-11T19:02:32;2025-09-11T08:16:28
9;11039;1782;true;2025-09-11T16:32:29;2025-09-12T03:46:40
10;7062;27331;false;2025-09-11T22:11:37;2025-09-12T03:46:02
